X,Y,Disp_x,Disp_y
0.12,-0.0475,-0.00519787437675916,-0.00700737774064885
0.1225,-0.0475,-0.00530617327160041,-0.00728382664973987
0.125,-0.0475,-0.0054144723260905,-0.00756597562755396
0.1275,-0.0475,-0.00552277152071733,-0.00785382467657353
0.13,-0.0475,-0.0056310708378808,-0.00814737379783764
0.1325,-0.0475,-0.0057393702617542,-0.00844662299120131
0.135,-0.0475,-0.00584766977814947,-0.0087515722555609
0.1375,-0.0475,-0.00595596937438727,-0.0090622215890492
0.14,-0.0475,-0.00606426903917255,-0.00937857098920339
0.1425,-0.0475,-0.00617256876247617,-0.00970062045310895
0.145,-0.0475,-0.00628086853542281,-0.0100283699775221
0.1475,-0.0475,-0.00638916835018553,-0.0103618195589732
0.15,-0.0475,-0.00649746819988689,-0.0107009691938539
0.1525,-0.0475,-0.00660576807850678,-0.0110458188784892
0.155,-0.0475,-0.00671406798079676,-0.0113963686091969
0.1575,-0.0475,-0.00682236790220081,-0.0117526183823357
0.16,-0.0475,-0.00693066783878224,-0.0121145681943445
0.1625,-0.0475,-0.00703896778715656,-0.0124822180417721
0.165,-0.0475,-0.00714726774443004,-0.0128555679213007
0.1675,-0.0475,-0.0072555677081436,-0.0132346178297632
0.17,-0.0475,-0.00736386767622179,-0.0136193677641548
0.1725,-0.0475,-0.00747216764692656,-0.014009817721641
0.175,-0.0475,-0.00758046761881543,-0.0144059676995615
0.1775,-0.0475,-0.00768876759070377,-0.0148078176954314
0.18,-0.0475,-0.00779706756163101,-0.0152153677069399
0.1825,-0.0475,-0.0079053675308303,-0.0156286177319465
0.185,-0.0475,-0.0080136674977014,-0.0160475677684768
0.1875,-0.0475,-0.00812196746178663,-0.0164722178147161
0.19,-0.0475,-0.00823026742274948,-0.0169025678690027
0.1925,-0.0475,-0.00833856738035565,-0.0173386179298201
0.195,-0.0475,-0.00844686733445645,-0.0177803679957889
0.1975,-0.0475,-0.00855516728497409,-0.0182278180656591
0.2,-0.0475,-0.0086634672318889,-0.0186809681383013
0.2025,-0.0475,-0.00877176717522809,-0.0191398182126987
0.205,-0.0475,-0.0088800671150561,-0.0196043682879386
0.2075,-0.0475,-0.00898836705146609,-0.0200746183632047
0.21,-0.0475,-0.00909666698457274,-0.0205505684377694
0.2125,-0.0475,-0.009204966914506,-0.0210322185109862
0.215,-0.0475,-0.00931326684140576,-0.0215195685822825
0.2175,-0.0475,-0.00942156676541732,-0.0220126186511531
0.22,-0.0475,-0.00952986668668753,-0.0225113687171538
0.2225,-0.0475,-0.00963816660536159,-0.0230158187798951
0.225,-0.0475,-0.00974646652158031,-0.0235259688390366
0.2275,-0.0475,-0.00985476643547787,-0.0240418188942817
0.23,-0.0475,-0.00996306634717995,-0.0245633689453723
0.2325,-0.0475,-0.0100713662568022,-0.0250906189920845
0.235,-0.0475,-0.010179666164449,-0.0256235690342235
0.2375,-0.0475,-0.0102879660702125,-0.02616221907162
0.24,-0.0475,-0.0103962659741715,-0.0267065691041255
0.2425,-0.0475,-0.0105045658763914,-0.0272566191316089
0.245,-0.0475,-0.0106128657769231,-0.0278123691539531
0.2475,-0.0475,-0.0107211656758031,-0.0283738191710507
0.25,-0.0475,-0.010829465573053,-0.028940969182801
0.2525,-0.0475,-0.0109377654686794,-0.0295138191891068
0.255,-0.0475,-0.0110460653626738,-0.0300923691898707
0.2575,-0.0475,-0.0111543652550128,-0.0306766191849917
0.26,-0.0475,-0.011262665145658,-0.0312665691743623
0.2625,-0.0475,-0.0113709650345561,-0.0318622191578645
0.265,-0.0475,-0.0114792649216399,-0.0324635691353665
0.2675,-0.0475,-0.0115875648068278,-0.0330706191067191
0.27,-0.0475,-0.0116958646900252,-0.0336833690717514
0.2725,-0.0475,-0.0118041645711246,-0.0343018190302674
0.275,-0.0475,-0.0119124644500073,-0.0349259689820411
0.2775,-0.0475,-0.0120207643265438,-0.0355558189268122
0.28,-0.0475,-0.0121290642005959,-0.0361913688642815
0.2825,-0.0475,-0.0122373640720184,-0.0368326187941054
0.285,-0.0475,-0.012345663940661,-0.0374795687158906
0.2875,-0.0475,-0.0124539638063712,-0.0381322186291883
0.29,-0.0475,-0.0125622636689978,-0.038790568533488
0.2925,-0.0475,-0.0126705635283938,-0.0394546184282112
0.295,-0.0475,-0.0127788633844219,-0.0401243683127043
0.2975,-0.0475,-0.012887163236959,-0.0407998181862314
0.3,-0.0475,-0.012995463085903,-0.0414809680479667
0.3025,-0.0475,-0.0131037629311796,-0.0421678178969868
0.305,-0.0475,-0.0132120627727506,-0.0428603677322622
0.3075,-0.0475,-0.0133203626106242,-0.0435586175526495
0.31,-0.0475,-0.0134286624448655,-0.0442625673568823
0.3125,-0.0475,-0.0135369622756097,-0.0449722171435633
0.315,-0.0475,-0.0136452621030766,-0.0456875669111552
0.3175,-0.0475,-0.0137535619275874,-0.046408616657973
0.32,-0.0475,-0.0138618617495835,-0.0471353663821761
0.3225,-0.0475,-0.0139701615696481,-0.0478678160817611
0.325,-0.0475,-0.0140784613885303,-0.0486059657545553
0.3275,-0.0475,-0.0141867612071725,-0.0493498153982119
0.33,-0.0475,-0.0142950610267405,-0.0500993650102065
0.3325,-0.0475,-0.0144033608486578,-0.0508546145878352
0.335,-0.0475,-0.0145116606746438,-0.0516155641282159
0.3375,-0.0475,-0.0146199605067553,-0.052382213628292
0.34,-0.0475,-0.014728260347434,-0.0531545630848396
0.3425,-0.0475,-0.014836560199557,-0.05393261249448
0.345,-0.0475,-0.0149448600664946,-0.0547163618536966
0.3475,-0.0475,-0.0150531599521712,-0.0555058111588582
0.35,-0.0475,-0.0151614598611343,-0.0563009604062496
0.3525,-0.0475,-0.0152697597986277,-0.0571018095921105
0.355,-0.0475,-0.0153780597706719,-0.0579083587126848
0.3575,-0.0475,-0.0154863597841514,-0.0587206077642802
0.36,-0.0475,-0.0155946598469073,-0.0595385567433423
0.3625,-0.0475,-0.0157029599678382,-0.0603622056465416
0.365,-0.0475,-0.0158112601570068,-0.0611915544708801
0.3675,-0.0475,-0.015919560425754,-0.062026603213815
0.37,-0.0475,-0.0160278607868185,-0.0628673518734055
0.3725,-0.0475,-0.0161361612544636,-0.0637138004484842
0.375,-0.0475,-0.0162444618446087,-0.0645659489388561
0.3775,-0.0475,-0.0163527625749659,-0.0654237973455285
0.38,-0.0475,-0.0164610634651806,-0.0662873456709763
0.3825,-0.0475,-0.0165693645369742,-0.0671565939194452
0.385,-0.0475,-0.0166776658142886,-0.0680315420972984
0.3875,-0.0475,-0.0167859673234282,-0.0689121902134104
