X,Y,Sigma_x,Sigma_y,Tau_xy
0.04,-0.0475,-47.376629990921,-8.82835811732245e-05,0.000846618851036152
0.0425,-0.0475,-47.377234752693,-7.08444193193714e-05,0.000851049510963422
0.045,-0.0475,-47.3778732814835,-5.63098924241482e-05,0.000847157400597237
0.0475,-0.0475,-47.3785317024183,-4.40945249587562e-05,0.000836133023039661
0.05,-0.0475,-47.3791988123114,-3.37765529139962e-05,0.000819056939138058
0.0525,-0.0475,-47.3798655221281,-2.50421949967716e-05,0.000796918171360359
0.055,-0.0475,-47.3805244620509,-1.76505503954871e-05,0.000770623304577833
0.0575,-0.0475,-47.3811696900695,-1.14109953326391e-05,0.000741001047103266
0.06,-0.0475,-47.3817964682084,-6.16838320096254e-06,0.000708804741830419
0.0625,-0.0475,-47.3824010841923,-1.79323016702426e-06,0.000674714164795328
0.065,-0.0475,-47.3829807046183,1.82485716315739e-06,0.000639337329530698
0.0675,-0.0475,-47.3835332507933,4.78162267529096e-06,0.00060321265512502
0.07,-0.0475,-47.3840572915571,7.16119108545854e-06,0.000566811645895365
0.0725,-0.0475,-47.3845519493992,9.03816195988819e-06,0.000530542100536842
0.075,-0.0475,-47.3850168174364,1.04790806769728e-05,0.000494751796682347
0.0775,-0.0475,-47.3854518856081,1.15434975415477e-05,0.000459732555727991
0.08,-0.0475,-47.3858574749359,1.22847616079724e-05,0.000425724578253998
0.0825,-0.0475,-47.3862341790019,1.27506338412076e-05,0.000392920939929792
0.085,-0.0475,-47.3865828119914,1.29837878498999e-05,0.000361472139514106
0.0875,-0.0475,-47.3869043627517,1.30222371161892e-05,0.000331490607527675
0.09,-0.0475,-47.3871999543883,1.28997135213638e-05,0.000303055098082011
0.0925,-0.0475,-47.3874708089592,1.26460150286315e-05,0.000276214899329015
0.095,-0.0475,-47.3877182168539,1.22873269141621e-05,0.000250993815532082
0.0975,-0.0475,-47.387943510458,1.18465313215429e-05,0.000227393885416538
0.1,-0.0475,-47.388148041723,1.13434969986059e-05,0.000205398818224437
0.1025,-0.0475,-47.3883331632758,1.0795354520828e-05,0.000184977129667724
0.105,-0.0475,-47.3885002127016,1.02167652074788e-05,0.000166084978789838
0.1075,-0.0475,-47.3886504996835,9.62016568450963e-06,0.000148668710889042
0.11,-0.0475,-47.388785295665,9.01600244832916e-06,0.000132667109449147
0.1125,-0.0475,-47.3889058257411,8.41295322769516e-06,0.000118013376606607
0.115,-0.0475,-47.3890132624989,7.81812952806623e-06,0.000104636857882016
0.1175,-0.0475,-47.3891087215561,7.23726708251604e-06,9.24645234453199e-05
0.12,-0.0475,-47.3891932585498,6.67489800084316e-06,8.14222330299541e-05
0.1225,-0.0475,-47.3892678673734,6.13450905717627e-06,7.14357990140302e-05
0.125,-0.0475,-47.3893334794594,5.61868399688118e-06,6.24318667134342e-05
0.1275,-0.0475,-47.3893909639341,5.12923635357746e-06,5.43386359554976e-05
0.13,-0.0475,-47.3894411284964,4.66732496147889e-06,4.70864377972539e-05
0.1325,-0.0475,-47.3894847208711,4.23355725468847e-06,4.06081821730057e-05
0.135,-0.0475,-47.3895224307285,3.82808179999472e-06,3.48397016364706e-05
0.1375,-0.0475,-47.389554891956,3.4506710899033e-06,2.97199923360951e-05
0.14,-0.0475,-47.3895826851911,3.100791120166e-06,2.51913778156754e-05
0.1425,-0.0475,-47.3896063405459,2.77766660339296e-06,2.11996018175953e-05
0.145,-0.0475,-47.3896263404436,2.48033218201253e-06,1.76938645786347e-05
0.1475,-0.0475,-47.3896431225239,2.20768183230765e-06,1.4626804354619e-05
0.15,-0.0475,-47.3896570825568,1.95850780334202e-06,1.19544498801509e-05
0.1525,-0.0475,-47.3896685773368,1.73153494624027e-06,9.63613399899514e-06
0.155,-0.0475,-47.3896779275249,1.52544641037385e-06,7.63437953880489e-06
0.1575,-0.0475,-47.3896854204032,1.33891193125161e-06,5.91477414056222e-06
0.16,-0.0475,-47.3896913125395,1.1706040291178e-06,4.44582561648366e-06
0.1625,-0.0475,-47.3896958323307,1.01921643628581e-06,3.19880950787795e-06
0.165,-0.0475,-47.3896991824234,8.8347533141094e-07,2.14760895677254e-06
0.1675,-0.0475,-47.3897015420059,7.62149106492416e-07,1.2685513892848e-06
0.17,-0.0475,-47.3897030689613,6.54057039047492e-07,5.40247504852524e-07
0.1725,-0.0475,-47.389703901881,5.58074884082771e-07,-5.65689091125421e-08
0.175,-0.0475,-47.3897041619471,4.73135634967055e-07,-5.39199141188126e-07
0.1775,-0.0475,-47.3897039546765,3.98236687478478e-07,-9.23134674118975e-07
0.18,-0.0475,-47.389703371529,3.3243987533164e-07,-1.22220347803514e-06
0.1825,-0.0475,-47.3897024913919,2.74866954086406e-07,-1.44870759263838e-06
0.185,-0.0475,-47.3897013819445,2.24706893684849e-07,-1.61356176283286e-06
0.1875,-0.0475,-47.389700100898,1.81206434746173e-07,-1.72641727124353e-06
